step,loss
64,0.004519456531852484
68,0.0039218757301568985
72,0.0032013426534831524
76,0.002518457593396306
80,0.002170898951590061
84,0.0019339490681886673
88,0.0016385995550081134
92,0.001321340212598443
96,0.0009541662875562906
100,0.000668957713060081
104,0.0004637730016838759
108,0.00027389766182750463
112,0.00020880532974842936
116,0.00031953983125276864
120,0.0003395819221623242
124,0.00034782811417244375
128,0.00043833034578710794
132,0.00031479247263632715
136,0.0002286499075125903
140,0.00016594023327343166
144,0.00010553275933489203
148,9.319493983639404e-05
152,7.039238698780537e-05
156,8.20057830424048e-05
160,7.432819256791845e-05
164,9.842521831160411e-05
168,0.00011496464139781892
172,0.0001037425608956255
176,8.050144970184192e-05
180,7.791534153511748e-05
184,7.524040120188147e-05
188,5.688563396688551e-05
192,4.542936949292198e-05
196,4.150750828557648e-05
200,4.8095105739776045e-05
204,3.490874223643914e-05
208,4.0700080717215315e-05
212,4.2125182517338544e-05
216,2.3778393369866535e-05
220,4.2695315642049536e-05
224,4.592394543578848e-05
228,4.754896508529782e-05
232,5.28947202838026e-05
236,2.7373811462894082e-05
240,1.9435428839642555e-05
244,1.6458183381473646e-05
248,1.8460890714777634e-05
252,1.4678273146273568e-05
256,1.2230299034854397e-05
260,1.5947434803820215e-05
264,2.2583009922527708e-05
268,1.7279355233768e-05
272,1.5725585399195552e-05
276,1.3043058061157353e-05
280,1.5924135368550196e-05
284,1.4332133105199318e-05
288,1.5676923794671893e-05
292,1.310504103457788e-05
296,1.272491044801427e-05
300,1.1977685971942265e-05
304,1.0503954399609938e-05
308,1.0727585504355375e-05
312,1.1881584214279428e-05
316,9.694777872937266e-06
320,9.857728400675114e-06
324,8.245124263339676e-06
328,7.671856110391673e-06
332,1.0818800546985585e-05
336,8.105894266918767e-06
340,9.139973371929955e-06
344,8.200961019610986e-06
348,7.982862371136434e-06
352,7.97849497757852e-06
356,7.404039934044704e-06
360,7.0182773015403654e-06
364,7.072327207424678e-06
368,6.098017365729902e-06
372,5.436760147858877e-06
376,6.206250418472337e-06
380,7.402870778605575e-06
384,6.091077466408024e-06
388,6.714282790198922e-06
392,4.98640765727032e-05
396,8.873366823536344e-06
400,8.854785846779123e-06
404,4.964835625287378e-06
408,4.1446441173320636e-05
412,1.41892560350243e-05
416,1.414549296896439e-05
420,1.8108501535607502e-05
424,1.5597630408592522e-05
428,4.006880408269353e-05
432,4.245505988365039e-05
436,4.073364470968954e-05
440,3.923278927686624e-05
444,1.3529542229662184e-05
448,1.2244437129993457e-05
452,2.2509795599034987e-05
456,1.1574414202186745e-05
460,3.5856330214301124e-05
464,8.439997145615052e-06
468,1.1121413081127685e-05
472,1.1248533155594487e-05
476,6.188368843140779e-06
480,1.0971353731292766e-05
484,9.366574886371382e-06
488,4.013480429421179e-05
492,1.1676695976348128e-05
496,1.3701626812689938e-05
500,8.869673365552444e-06
504,3.2898569770623e-05
508,8.773732588451821e-06
512,9.005282663565595e-06
516,8.590821380494162e-06
520,4.944079591950867e-06
524,5.7219534937758e-05
528,8.002383765415289e-06
532,5.242700353846885e-05
536,8.637744031148031e-06
540,2.6151665224460885e-05
544,4.83948224427877e-06
548,9.056724593392573e-06
552,9.246209629054647e-06
556,6.465043043135665e-06
560,2.2074511434766464e-05
564,6.462773399107391e-06
568,7.157506388466572e-06
572,4.9051109272113536e-06
576,4.502652245719219e-06
580,3.7095285279065138e-06
584,5.64103947908734e-06
588,5.9461654018377885e-06
592,6.500953077193117e-06
596,4.5482570385502186e-06
600,4.703789727500407e-06
604,3.5516627576726023e-06
608,3.448499683145201e-06
612,4.335872745286906e-06
616,4.534582330961712e-06
620,3.825364274234744e-06
624,6.074135308153927e-05
628,3.9462651329813525e-05
632,6.179778665682534e-06
636,6.8016051955055445e-06
640,3.452868259046227e-05
644,2.493970350769814e-05
648,6.5442518462077715e-06
652,4.6835011744406074e-06
656,2.013126686506439e-05
660,5.354358108888846e-06
664,4.840031579078641e-06
668,5.26875237483182e-06
672,1.981348077606526e-06
676,1.811754373193253e-05
680,3.979060693382053e-06
684,3.0467847409454407e-06
688,3.256365971537889e-06
692,3.4254458114446606e-06
696,2.878518444049405e-06
700,3.5748796562984353e-06
704,2.9472944333974738e-06
708,1.6081728972494602e-05
712,4.689434263127623e-06
716,3.1362910704046953e-06
720,2.2822050596005283e-06
724,2.5578008262527874e-06
728,4.281960627849912e-06
732,1.5035345313663129e-05
736,3.6010951589560136e-05
740,2.9117866233718814e-06
744,2.561028395575704e-06
748,5.374115971790161e-06
752,1.344968313787831e-05
756,2.1037606074969517e-06
760,3.213882155250758e-05
764,3.548796485119965e-06
768,4.425497991178418e-06
772,3.3461001294199377e-06
776,1.4232585272111464e-05
780,2.918776317528682e-06
784,3.761648940781015e-06
788,4.58439808426192e-06
792,2.648769623192493e-06
796,3.344011201988906e-05
800,3.436010501900455e-06
804,2.8062625005986774e-06
808,1.6692362123649218e-06
812,2.014634446823038e-06
816,1.9675749172165524e-06
820,1.7237478004972218e-06
824,1.226004860654939e-05
828,3.875695711030858e-06
832,2.1841708530701e-06
836,2.763008978945436e-06
840,1.3353538861338166e-06
844,1.9925248579966137e-06
848,1.0220993544862722e-06
852,1.8129072714145877e-06
856,2.5054262096091406e-06
860,2.006136128329672e-06
864,3.2545794965699315e-05
868,1.1387351150915492e-05
872,1.8003923969445168e-06
876,2.939200612672721e-06
880,2.405736950095161e-06
884,8.98920825420646e-06
888,2.4746723283897154e-06
892,2.1435516828205436e-06
896,1.8781104245135793e-06
900,3.377398388693109e-05
904,1.912267180159688e-06
908,2.609444891277235e-06
912,3.5330363061802927e-06
916,3.625993485911749e-05
920,1.4907647027939674e-06
924,1.4938993899704656e-06
928,1.2823546740037273e-06
932,2.518568180676084e-06
936,2.0160643998679006e-06
940,1.119414719141787e-06
944,1.6122719443956157e-06
948,1.3714820852328558e-06
952,2.2533006358571583e-06
956,2.903460654124501e-06
960,5.648364549415419e-06
964,1.504609826952219e-06
968,2.9254315450089052e-05
972,9.027765486280259e-07
976,4.650986738852225e-06
980,5.798900474474067e-06
984,1.929700601976947e-06
988,1.8110999917553272e-06
992,4.290280776331201e-05
996,1.4833362911303993e-06
1000,2.668369916136726e-06
1004,1.2159115613030735e-05
1008,1.480782430007821e-05
1012,4.7206140152411535e-06
1016,1.1511254342622124e-05
1020,5.041720578446984e-05
1024,5.492314357979922e-06
