step,loss
64,0.002095303265377879
68,0.0016002242919057608
72,0.0012787198647856712
76,0.0010240067495033145
80,0.0006407409673556685
84,0.0004182860138826072
88,0.0003093142877332866
92,0.00015598058234900236
96,0.00015530045493505895
100,0.00018376880325376987
104,0.0001913023297674954
108,0.00019495937158353627
112,0.00011961033305851743
116,0.0001502235245425254
120,9.608190885046497e-05
124,7.322261080844328e-05
128,8.467378211207688e-05
132,7.189548341557384e-05
136,8.654520206619054e-05
140,6.552707782248035e-05
144,6.0720059991581365e-05
148,4.501169314607978e-05
152,5.2117764425929636e-05
156,4.6637280320283026e-05
160,4.211672785459086e-05
164,3.566185478121042e-05
168,4.122271639062092e-05
172,2.5010564058902673e-05
176,3.037395617866423e-05
180,2.2378706489689648e-05
184,3.1082916393643245e-05
188,2.9246084523038007e-05
192,2.009918898693286e-05
196,3.799164551310241e-05
200,4.608484232448973e-05
204,3.385463423910551e-05
208,2.864486123144161e-05
212,1.3150684026186354e-05
216,1.5077817806741223e-05
220,2.1263571397867054e-05
224,2.2408485165215097e-05
228,2.6909756343229674e-05
232,2.3017992134555243e-05
236,1.9345341570442542e-05
240,1.5602890925947577e-05
244,1.7100697732530534e-05
248,1.5401059499708936e-05
252,2.9968625312903896e-05
256,1.850732041930314e-05
260,1.3101574950269423e-05
264,2.5438710508751683e-05
268,8.255331522377674e-06
272,6.559040230058599e-06
276,6.70262124913279e-06
280,8.29680993774673e-06
284,7.338609975704458e-06
288,5.280098775983788e-06
292,2.0851246517850086e-05
296,5.9192975641053636e-06
300,4.749757408717414e-06
304,4.564284154184861e-06
308,6.5953672674368136e-06
312,5.5295804486377165e-06
316,4.45645309810061e-06
320,4.018233084934764e-06
324,1.7310110706603155e-05
328,5.505569788510911e-06
332,4.724741302197799e-06
336,1.4403944078367203e-05
340,4.591912329487968e-06
344,4.206388894090196e-06
348,3.37990991283732e-06
352,4.686505235440563e-06
356,1.4366956747835502e-05
360,1.6004834833438508e-05
364,6.105038664827589e-06
368,5.2888326536049135e-06
372,1.4457584256888367e-05
376,4.7378530325659085e-06
380,3.880301846947987e-06
384,5.011922439734917e-06
388,4.617559625330614e-06
392,1.3423938071355224e-05
396,3.8265507100732066e-06
400,1.4192725757311564e-05
404,5.328963197825942e-06
408,7.664250915695447e-06
412,2.9801230994053185e-06
416,4.828174496651627e-06
420,5.390309524955228e-06
424,3.500119419186376e-06
428,4.966508186043939e-06
432,4.887989234703127e-06
436,4.5495953600038774e-06
440,2.481250248820288e-06
444,3.37530582328327e-06
448,4.537927907222183e-06
452,3.2143927910510683e-06
456,3.903795914084185e-06
460,3.1631087040295824e-05
464,2.7764506285166135e-06
468,2.7921223590965383e-05
472,5.556538781092968e-06
476,3.941745490010362e-06
480,2.4258901248686016e-05
484,2.6168065687670605e-06
488,4.58484419141314e-06
492,5.261100341158453e-06
496,4.960135811415967e-06
500,3.4472022889531218e-06
504,5.651105311699212e-06
508,2.7854043764818925e-06
512,2.721983037190512e-06
516,2.827293428708799e-06
520,1.169826828117948e-05
524,3.058834408875555e-05
528,2.9259631446620915e-06
532,2.81890902442683e-06
536,3.055532488360768e-06
540,3.327932063257322e-05
544,3.1345803108706605e-06
548,2.7822536594612757e-06
552,4.6412005758611485e-06
556,6.956781362532638e-06
560,1.2166909073130228e-05
564,9.252247764379717e-06
568,3.5097186810162384e-06
572,2.567804358477588e-06
576,2.332038275199011e-05
580,2.1659334379364736e-06
584,3.7060940485389438e-06
588,2.278163992741611e-05
592,2.2518324840348214e-06
596,8.815452929411549e-06
600,1.895381842587085e-06
604,2.6625787086231867e-06
608,2.84804696093488e-06
612,2.163865246984642e-06
616,8.14580107544316e-06
620,7.82718780101277e-06
624,2.436427621432813e-06
628,1.4812221706961282e-06
632,3.197165824531112e-06
636,2.279274667671416e-06
640,1.8088064734911313e-06
644,3.98222937292303e-06
648,3.017060180354747e-06
652,2.544751259847544e-05
656,7.2344200816587545e-06
660,1.446159444640216e-06
664,1.356748839498323e-06
668,1.6599334458078374e-06
672,2.0387560653034598e-06
676,5.316150691214716e-06
680,4.682352027884917e-06
684,3.128777052552323e-06
688,1.3555475106841186e-06
692,1.2578013866004767e-06
696,2.3050229174259584e-06
700,2.192282408941537e-06
704,2.091396254400024e-06
708,2.9493348847609013e-06
712,7.367227681243094e-06
716,2.3779557523084804e-06
720,1.9822377907985356e-06
724,1.729917130433023e-06
728,2.1990659661241807e-05
732,3.4412546483508777e-06
736,2.453012712066993e-06
740,1.6305639292113483e-05
744,2.560465645728982e-06
748,5.1598858590296e-06
752,8.66909704200225e-06
756,4.609345069184201e-06
760,2.624101625769981e-06
764,2.9050183911749627e-06
768,2.1401949652499752e-06
772,1.8713230929279234e-06
776,6.453772584791295e-06
780,2.736654096224811e-05
784,2.6774880552693503e-06
788,2.1910832401772495e-06
792,3.0654539386887336e-06
796,2.8730732992698904e-06
800,2.0271249013603665e-05
804,2.5173214908136288e-06
808,2.409082298981957e-06
812,2.8605652460100828e-06
816,2.682965714484453e-06
820,2.901251036746544e-06
824,4.015248123323545e-06
828,3.6477065350482007e-06
832,2.088401743094437e-06
836,1.8774863974613254e-06
840,1.4601978364225943e-06
844,3.7441425320139388e-06
848,2.231133748864522e-06
852,3.425265958867385e-06
856,2.3432637590303784e-06
860,2.6722227630671114e-06
864,2.7919752483285265e-06
868,2.5354149784106994e-06
872,1.6648475593683543e-06
876,2.1182027012400795e-06
880,2.2401670776162064e-06
884,3.576421477191616e-06
888,2.1748337530880235e-06
892,2.4941402898548404e-06
896,1.3730733599004452e-06
900,2.3701923055341467e-06
904,2.2184553927218076e-06
908,2.118101474479772e-05
912,1.7211162912644795e-06
916,2.0608320028259186e-06
920,1.9872122720698826e-06
924,2.355263404751895e-06
928,2.4932903670560336e-06
932,1.9342194264027057e-06
936,2.3524698917753994e-06
940,1.5312110690501868e-06
944,1.71059377862548e-06
948,1.5157326060943888e-06
952,1.561212684464408e-06
956,2.2172785065777134e-06
960,1.4050473282622988e-06
964,2.3019465515972115e-06
968,1.6526197441635304e-06
972,7.449428267136682e-06
976,2.555385435698554e-06
980,1.7598891872694367e-06
984,1.5575594716210617e-06
988,1.9797830645984504e-06
992,2.0961349491699366e-06
996,1.6907042663660832e-06
1000,1.4964040246923105e-06
1004,3.301790684417938e-06
1008,2.4421497073490173e-06
1012,3.1580655104335165e-06
1016,2.168110768252518e-05
1020,3.46272713613871e-06
1024,2.3799661903467495e-06
1028,2.093296870953054e-06
1032,2.9868622277717805e-06
1036,2.907949237851426e-06
1040,1.5489858388900757
1044,0.00011813258606707677
1048,0.0003521513717714697
1052,0.0005402803071774542
1056,0.0009865130996331573
1060,0.0008204695186577737
1064,0.0008268167730420828
1068,0.00038195951492525637
1072,0.00020808703266084194
1076,0.0002000135718844831
1080,0.0001722537272144109
1084,0.0002193787513533607
1088,0.00017288836534135044
1092,0.0001390781399095431
1096,0.00014580499555449933
1100,9.60748438956216e-05
1104,5.325513120624237e-05
1108,5.592032539425418e-05
1112,7.223005377454683e-05
1116,6.106607179390267e-05
1120,7.307116902666166e-05
1124,4.359952436061576e-05
1128,4.809093297808431e-05
1132,3.2475843909196556e-05
1136,5.6072287407005206e-05
1140,2.9299471862032078e-05
1144,2.417238283669576e-05
1148,2.5068662580451928e-05
1152,3.192522854078561e-05
1156,1.1936041119042784e-05
1160,1.0975156328640878e-05
1164,1.0965449291688856e-05
1168,1.3216435945651028e-05
1172,1.1168156561325304e-05
1176,1.2307076758588664e-05
1180,1.4677978469990194e-05
1184,1.4578299669665284e-05
1188,1.2128966773161665e-05
1192,6.5480626290082e-06
1196,1.1322152204229496e-05
1200,7.662068128411192e-06
1204,1.5481765270233154
1208,5.139092172612436e-05
1212,0.00018344818090554327
1216,0.00037824269384145737
1220,0.00030407431768253446
1224,0.001020409050397575
1228,0.0012268844293430448
1232,0.0010431495029479265
1236,0.000666850886773318
1240,0.0002493665961083025
1244,0.0007194516947492957
1248,1.521629810333252
1252,0.0006194605957716703
1256,0.0008076212834566832
1260,0.0020894939079880714
1264,0.0027052671648561954
1268,0.00258459011092782
1272,1.494039535522461
1276,0.0007114641484804451
1280,0.0010095584439113736
1284,0.004868436139076948
1288,0.008985999040305614
1292,0.008620815351605415
1296,0.005835782270878553
1300,1.4658863544464111
1304,0.007375865243375301
1308,0.006136384792625904
1312,0.002072534989565611
1316,0.0026130801998078823
1320,0.008460454642772675
1324,0.009287437424063683
1328,0.004802314098924398
1332,0.0042564463801681995
1336,0.004820335190743208
1340,0.004737005103379488
1344,0.0024006881285458803
1348,0.002649037167429924
1352,0.002468881895765662
1356,0.0022458373568952084
1360,0.00041070039151236415
1364,0.0008208765648305416
1368,0.0006122439517639577
1372,0.0003798563266173005
1376,0.0002938451652880758
1380,0.0002081389829982072
1384,0.00012122691987315193
1388,0.00010372797260060906
1392,0.00012710531882476062
1396,0.00010631930490490049
1400,7.470589480362833e-05
1404,7.78958055889234e-05
1408,7.598169759148732e-05
1412,6.415141251636669e-05
1416,8.018928929232061e-05
1420,6.995675357757136e-05
1424,5.394977779360488e-05
1428,9.02168030734174e-05
1432,5.978312037768774e-05
1436,4.577109939418733e-05
1440,2.3850745492381975e-05
1444,2.230066093034111e-05
1448,1.8227225154987536e-05
1452,1.3902135833632201e-05
1456,1.5796096704434603e-05
1460,1.5355326468124986e-05
1464,1.5061227713886183e-05
1468,1.3348033462534659e-05
1472,9.770401447894983e-06
1476,8.499432624375913e-06
1480,1.3074351954855956e-05
1484,1.1375896065146662e-05
1488,7.39534789317986e-06
1492,1.3325587133294903e-05
1496,9.721386049932335e-06
1500,1.5453213453292847
1504,4.161463584750891e-05
1508,8.999087731353939e-05
1512,0.00017921543621923774
1516,0.00015059135330375284
1520,0.00033402410917915404
1524,0.00033758769859559834
1528,0.00028485333314165473
1532,0.00034216491621918976
1536,0.00034614448668435216
1540,0.0003169300325680524
1544,0.00032890457077883184
1548,0.00013106258120387793
1552,0.0004010863194707781
1556,0.00032351474510505795
1560,0.0001632812200114131
1564,0.0002926316228695214
1568,0.00010325191396987066
1572,0.00012482970487326384
1576,9.905179467750713e-05
1580,7.352577085839584e-05
1584,6.142231723060831e-05
1588,5.866631181561388e-05
1592,3.449424548307434e-05
1596,3.045842095161788e-05
1600,3.533084600348957e-05
1604,1.5519165992736816
1608,1.9551904188119806e-05
1612,3.902133903466165e-05
1616,0.00011339424963807687
1620,0.00025066715897992253
1624,0.000227074880967848
1628,0.0001475015887990594
1632,1.5200295448303223
1636,0.0006953357369638979
1640,0.0012742995750159025
1644,0.00047675176756456494
1648,0.0011624903418123722
1652,0.001209974056109786
1656,0.0015007774345576763
1660,0.002906210720539093
1664,0.0010938430204987526
1668,0.0029095099307596684
1672,0.0019912892021238804
1676,0.001276975148357451
1680,0.0017245064955204725
1684,0.0022294262889772654
1688,0.0013857455924153328
1692,0.0008480598335154355
1696,0.000826879171654582
1700,0.001367213437333703
1704,0.00041754194535315037
1708,0.0005444928538054228
1712,1.529049038887024
1716,0.00044718472054228187
1720,0.0005554005037993193
1724,0.0004398254386615008
1728,0.000837817438878119
1732,0.00048826521378941834
1736,0.0007393638952635229
1740,0.0001769347582012415
1744,0.00021115678828209639
1748,0.0008305374649353325
1752,0.0009985765209421515
1756,0.0005860196542926133
1760,0.0008154990500770509
1764,0.000905579945538193
1768,0.0011381953954696655
1772,0.0004671336500905454
1776,0.0004661775892600417
1780,0.0005746535025537014
1784,0.0008076507365331054
1788,0.0004981678212061524
1792,0.0002969529014080763
1796,0.0005168989882804453
1800,0.0001754815602907911
1804,0.00013145027332939208
1808,0.0003975371946580708
1812,0.0003890272637363523
1816,0.000324486056342721
1820,0.0002656166907399893
1824,9.277691424358636e-05
1828,0.0001175611832877621
1832,8.789064304437488e-05
1836,0.00012477555719669908
1840,0.00011990256462013349
1844,8.675322169438004e-05
1848,4.8223373596556485e-05
1852,5.584847167483531e-05
1856,5.797851918032393e-05
1860,6.029475116520189e-05
1864,2.0343806681921706e-05
1868,1.4879200534778647e-05
1872,1.6028621757868677e-05
1876,5.306520688463934e-05
1880,7.388898211502237e-06
1884,8.435551535512786e-06
1888,8.806960977381095e-06
1892,6.079987542761955e-06
1896,8.205443918996025e-06
1900,8.561280083085876e-06
1904,4.21447548433207e-05
1908,1.5449752027052455e-05
1912,2.3754986614221707e-05
1916,4.041305146529339e-05
1920,8.897640327631962e-06
1924,3.597324757720344e-05
1928,1.803365012165159e-05
1932,1.5488847494125366
1936,7.47943704482168e-06
1940,3.8474750908790156e-05
1944,4.2818930523935705e-05
1948,6.312855111900717e-05
1952,8.9166198449675e-05
1956,0.00013542607484851032
1960,0.00022506379173137248
1964,0.0002128828491549939
1968,0.0003462201857473701
1972,0.000281026354059577
1976,0.00039162609027698636
1980,1.522390604019165
1984,0.000370160152669996
1988,0.00040190748404711485
1992,0.00040780651033855975
1996,0.0006566091324202716
2000,0.0008423863910138607
2004,0.009393122978508472
2008,0.0086921202018857
2012,0.008505980484187603
2016,1.5037589073181152
2020,0.00652422197163105
2024,0.004829634912312031
2028,0.003772302530705929
2032,0.0023205645848065615
2036,0.0033356454223394394
2040,0.0008398553472943604
2044,0.001517751021310687
2048,0.003584441263228655
2052,0.0030348936561495066
2056,0.004326231777667999
2060,0.0051367515698075294
2064,0.0025913803838193417
2068,0.0031070869881659746
2072,0.002212309977039695
2076,0.0005449203890748322
2080,0.0010268009500578046
2084,0.0006672240560874343
2088,0.0012651653960347176
2092,0.0011963139986619353
2096,0.0011738946195691824
2100,0.0009701874223537743
2104,0.0009881812147796154
2108,0.0007744727190583944
2112,0.000504806637763977
2116,0.0003311265027150512
2120,0.0001553268957650289
2124,0.00010719887359300628
2128,0.00019162127864547074
2132,0.0003138229076284915
2136,0.00034146918915212154
2140,0.00028375498368404806
2144,0.00016233745554927737
2148,8.545976015739143e-05
2152,5.388062709243968e-05
2156,5.0194015784654766e-05
2160,7.703664596192539e-05
2164,8.400704973610118e-05
2168,0.00012318203516770154
2172,0.0001310910447500646
2176,0.00014225872291717678
2180,0.0001280532160308212
2184,7.362765609286726e-05
2188,6.672446033917367e-05
2192,0.00040166295366361737
2196,6.027637573424727e-05
2200,5.587484338320792e-05
2204,5.451393371913582e-05
2208,7.068132981657982e-05
2212,5.96171485085506e-05
2216,4.308340430725366e-05
2220,4.410605470184237e-05
2224,4.426144005265087e-05
2228,3.5031836887355894e-05
2232,2.8585340260178782e-05
2236,3.1281473638955504e-05
2240,3.0883224098943174e-05
2244,5.048696039011702e-05
2248,2.6862973754759878e-05
2252,3.9466816815547645e-05
2256,2.9856284527340904e-05
2260,3.2870953873498365e-05
2264,3.139381078653969e-05
2268,3.5459157516015694e-05
2272,1.787118162610568e-05
2276,2.3817956389393657e-05
2280,0.000193281244719401
2284,2.1317400751286186e-05
2288,3.090225436608307e-05
2292,3.057505819015205e-05
2296,1.873088513093535e-05
2300,1.9804885596386157e-05
2304,2.4553166440455243e-05
2308,1.7749871403793804e-05
2312,1.5026870965957642
2316,6.208833656273782e-05
2320,0.00014525440928991884
2324,0.00020632984524127096
2328,0.0003563959617167711
2332,0.0007076144102029502
2336,0.0004571148892864585
2340,0.0002602783788461238
