step,loss
64,0.0064495825208723545
68,0.006067915819585323
72,0.00542076351121068
76,0.004855804145336151
80,0.004037562757730484
84,0.003337235888466239
88,0.002841783920302987
92,0.0024973333347588778
96,0.0016582509269937873
100,0.0010731315705925226
104,0.0006495236302725971
108,0.00046458662836812437
112,0.00030335813062265515
116,0.000381446850951761
120,0.0003808207984548062
124,0.00040896498830989003
128,0.000460224284324795
132,0.00030668789986521006
136,0.0002671257534530014
140,0.00022666067525278777
144,0.0001453394943382591
148,0.00016994903853628784
152,0.00011600129801081493
156,0.00010816627036547288
160,0.00010340717562939972
164,0.00014862573880236596
168,0.00015690035070292652
172,0.00014805674436502159
176,9.954968118108809e-05
180,9.724991832626984e-05
184,9.132698323810473e-05
188,6.965825014049187e-05
192,6.758110248483717e-05
196,5.354260792955756e-05
200,5.1292245188960806e-05
204,7.2331094997935e-05
208,6.634764577029273e-05
212,4.63135183963459e-05
216,4.74581538583152e-05
220,3.495765486150049e-05
224,1.7872482203529216e-05
228,1.592919034010265e-05
232,1.0955405741697177e-05
236,1.5870851711952128e-05
240,1.6959247659542598e-05
244,2.2627807993558235e-05
248,2.444564779580105e-05
252,2.8541677238536067e-05
256,2.6374635126558132e-05
260,1.8223192455479875e-05
264,1.302195232710801e-05
268,1.0387190741312224e-05
272,1.0409814422018826e-05
276,1.1277092198724858e-05
280,9.422964467376005e-06
284,1.2311231330386363e-05
288,1.2264856195542961e-05
292,9.35292337089777e-06
296,1.3514332749764435e-05
300,1.5016978068160824e-05
304,9.264262189390138e-06
308,7.21946389603545e-06
312,8.80965671967715e-06
316,8.787462320469785e-06
320,8.685198736202437e-06
324,1.212482493428979e-05
328,1.2511831300798804e-05
332,1.3251493328425568e-05
336,9.031592526298482e-06
340,1.2934011465404183e-05
344,1.2881016118626576e-05
348,1.4443003237829544e-05
352,8.913122655940242e-06
356,1.0193441084993538e-05
360,1.2477104064601008e-05
364,8.088626600510906e-06
368,8.081553460215218e-06
372,1.027148846333148e-05
376,1.0493688932911027e-05
380,1.0257315807393752e-05
384,1.050556602422148e-05
388,1.1724086107278708e-05
392,9.919764124788344e-06
396,1.2216250979690813e-05
400,9.546713044983335e-06
404,1.2095131751266308e-05
408,9.589072760718409e-06
412,1.025640176521847e-05
416,8.025123861443717e-06
420,7.3274036367365625e-06
424,9.327321095042862e-06
428,1.1806945622083731e-05
432,8.805456673144363e-06
436,9.393110303790309e-06
440,6.586777089978568e-06
444,8.01771238911897e-06
448,1.081186746887397e-05
452,9.456697625864763e-06
456,9.40692552831024e-06
460,9.334475180367008e-06
464,8.237904694397002e-06
468,1.1199089385627303e-05
472,7.924806595838163e-06
476,7.888846994319465e-06
480,7.5488733273232356e-06
484,1.0772986570373178e-05
488,9.136614607996307e-06
492,1.5008336049504578e-05
496,1.0339856089558452e-05
500,1.2483437785704155e-05
504,7.328351784963161e-06
508,1.6056039385148324e-05
512,1.3434479114948772e-05
516,1.1126398021588102e-05
520,1.4243481018638704e-05
524,1.3106749975122511e-05
528,1.8379125322098844e-05
532,1.0849133104784414e-05
536,1.3168998520995956e-05
540,1.2662709195865318e-05
544,1.8780874597723596e-05
548,1.2192076610517688e-05
552,1.2004719792457763e-05
556,1.800318932509981e-05
560,1.032718409987865e-05
564,1.4074077625991777e-05
568,1.1481195542728528e-05
572,8.660879757371731e-06
576,1.3833683624397963e-05
580,1.8333597836317495e-05
584,1.1038856428058352e-05
588,1.0651079719536938e-05
592,1.5278572391252965e-05
596,1.135863294621231e-05
600,1.3002018022234552e-05
604,1.28859019241645e-05
608,6.556078915309627e-06
612,7.528173682658235e-06
616,8.609815267845988e-06
620,9.282677638111636e-06
624,1.1299998732283711e-05
628,1.246018200617982e-05
632,1.003783745545661e-05
636,1.2068827345501631e-05
640,1.1384820027160458e-05
644,9.308046173828188e-06
648,1.128689655160997e-05
652,7.984693183971103e-06
656,9.81165976554621e-06
660,1.014788904285524e-05
664,8.43139332573628e-06
668,1.116341991291847e-05
672,5.828246685268823e-06
676,9.980364666262176e-06
680,8.72670625540195e-06
684,5.097127086628461e-06
688,7.300170636881376e-06
692,7.765603186271619e-06
696,6.22697189101018e-06
700,8.209193765651435e-06
704,6.342484994092956e-06
708,6.47559772914974e-06
712,4.78156562166987e-06
716,5.892901754123159e-06
720,5.665377102559432e-06
724,5.337065431376686e-06
728,5.981585218250984e-06
732,7.4972731454181485e-06
736,6.558105269505177e-06
740,6.429498171200976e-06
744,6.4912010202533565e-06
748,4.5522783693741076e-06
752,6.324672540358733e-06
756,6.385287179000443e-06
760,5.082903953734785e-06
764,4.969534529664088e-06
768,5.0122052925871685e-06
